id_question,question,option1,option2,option3,option4,option5,option6,label,level
143789_2,"توفي عن ورثة من الرجال : (ابن) العدد 1 (أخ شقيق) العدد 3 (ابن أخ شقيق) العدد 10 وورثة من النساء : (أم ) (بنت) العدد 3 (زوجة) العدد 2 (أخت شقيقة) العدد 3
كم سهماً للأم من مجموع السهام البالغ مائتين وأربعين سهماً؟",A) ثلاثون سهماً,B) أربعون سهماً,C) ستون سهماً,D) ثمانون سهماً,E) مائة وعشرون سهماً,F) مائتان وأربعون سهماً,B,Intermediate
156135_1,توفي عن زوجة، وابن، وبنت. ما هو النصيب النهائي لكل وارث من التركة؟,A) الزوجة: ثلاثة أسهم، الابن: سبعة أسهم، البنت: أربعة عشر سهما.,B) الزوجة: أربعة أسهم، الابن: عشرة أسهم، البنت: خمسة أسهم.,C) الزوجة: ثلاثة أسهم، الابن: عشرة أسهم، البنت: عشرة أسهم.,D) الزوجة: سهمان، الابن: خمسة عشر سهما، البنت: سبعة أسهم.,E) الزوجة: ثلاثة أسهم، الابن: أربعة عشر سهما، البنت: سبعة أسهم.,F) الزوجة: ثلاثة أسهم، الابن: اثنا عشر سهما، البنت: ستة أسهم.,E,Advanced
4582_2,توفي عن زوجة وثلاث أخوات وابن عم. ما نصيب الأخوات الثلاث من التركة؟,A) النصف,B) الثلث,C) الثلثان,D) الربع,E) السدس,F) لا يرثن,C,Beginner
165861_5,"توفي عن 4 ابن, 3 بنت, 2 زوجة. كم عدد سهام الزوجتين معاً من مجموع السهام البالغ مائة وستة وسبعين سهماً؟",A) أحد عشر سهماً,B) اثنان وعشرون سهماً,C) أربعة وأربعون سهماً,D) ستة وستون سهماً,E) ثمانية وثمانون سهماً,F) مائة واثنا عشر سهماً,B,Intermediate
131632_1,"توفي رضيع عن أب وأم قاتلة وجد من قبل الأب وجد من قبل الأم وجدة من قبل الأب وجدة من قبل الأم.
ما نصيب الأب من الدية؟",A) السدس,B) الثلث,C) النصف,D) الخمسة أسداس,E) الكل,F) لا شيء,D,Beginner
128773_4,توفي عن زوجة، وأخ شقيق، وأخت شقيقة، وأربعة إخوة من الأم، وأخت من الأم. إذا قسمت التركة على مائة وثمانين سهما، فكم سهما لكل أخ من الأم؟,A) 25,B) 50,C) 45,D) 12,E) 180,F) 0,D,Intermediate
125663_6,توفي عن أب، وزوجة، وثلاث بنات، وجدةلأم، وثلاث إخوة أشقاء، وأربع أخوات شقيقات، وستة أبناء أخ شقيق، وأربعة أعمام أشقاء، وثمانية أبناء عم شقيق. كم عدد سهام الزوجة؟,A) 6,B) 8,C) 9,D) 12,E) 16,F) 48,C,Advanced
378640_1,توفي عن: أخ من الأم واحد، وأقارب هم أحفاد إخوة جده. ما نصيب الأخ من الأم؟,A) النصف,B) الثلث,C) الربع,D) السدس,E) الثمن,F) لا يرث,D,Beginner
196617_7,"توفي عن أب، أخ شقيق (العدد 1)، أم، زوجة (العدد 1)، وعليه ديون.
كم عدد أسهم الأب؟",A) سهم واحد,B) سهمان,C) ثلاثة أسهم,D) أربعة أسهم,E) خمسة أسهم,F) لا شيء له من الأسهم,B,Intermediate
192899_2,"توفي عن أم، زوجة، 9 بنات، 2 ابن، 2 أخت شقيقة.
ما نصيب الزوجة؟",A) النصف,B) الربع,C) الثمن,D) السدس,E) الثلث,F) لا شيء,C,Beginner
143743_3,"توفي عن ورثة من الرجال: (ابن ابن) العدد 1 (أخ شقيق) العدد 1 (ابن أخ من الأب) العدد 2، وورثة من النساء: (بنت) العدد 5 (بنت ابن) العدد 1 (زوجة) العدد 1 (أخت شقيقة) العدد 2 (أخت من الأب) العدد 1
كيف يرث ابن الابن وبنت الابن؟",A) بالفرض,B) بالتعصيب,C) بالفرض والتعصيب,D) بالحجب,E) بالوصية,F) لا يرثون,B,Intermediate
167031_3,"توفي عن ورثة من الرجال: (ابن) العدد 2، (أخ شقيق) العدد 4، وورثة من النساء: (أم)، (بنت) العدد 5، (أخت شقيقة) العدد 2.
كم عدد أسهم كل بنت من مجموع أسهم التركة؟",A) 5,B) 10,C) 6,D) 8,E) 4,F) 3,A,Intermediate
76320_2,"توفي عن أم وابن وبنت.
كيف يقسم ما بقي من التركة بعد نصيب الأم على الابن والبنت؟",A) يقسم بينهما بالتساوي,B) للذكر مثل حظ الأنثيين,C) للأنثى مثل حظ الذكرين,D) الابن يأخذ الباقي كله,E) البنت تأخذ الباقي كله,F) لا يرثان الباقي,B,Beginner
420646_4,"توفي عن 3 أبناء ذكور و 3 بنات إناث.
هل يؤثر كون الوارث متزوجا أو غير متزوج على حقه في ميراث الفيلا؟",A) نعم، المتزوج لا يرث.,B) نعم، غير المتزوج يرث أكثر.,C) لا يؤثر كون الوارث متزوجا أو غير متزوج على حقه في ميراث الفيلا.,D) نعم، المتزوج يرث أكثر.,E) نعم، يؤثر على نوع القسمة.,F) نعم، يؤثر على عدد الأسهم.,C,Intermediate
154051_9,"توفي عن: 5 أبناء، 4 أبناء ابن، 6 إخوة لأب، 1 ابن أخ شقيق، 20 ابن أخ لأب، 1 ابن عم لأب، 5 بنات، 2 بنتي ابن، 1 زوجة، 7 أخوات لأب، 1 حمل لزوجة ابن الميت.
هل ترث الأخوات لأب في هذه المسألة؟",A) نعم، يرثن بالفرض,B) نعم، يرثن بالتعصيب,C) لا يرثن لأنهن محجوبات,D) يرثن إذا لم يوجد أبناء,E) يرثن إذا لم يوجد بنات,F) يرثن بالرد,C,Beginner
107968_3,"توفيت عن ولدين ذكرين وثلاث إناث وزوج وأب وأم
ما هو نصيب الأم؟",A) النصف,B) الثلث,C) السدس,D) الربع,E) الثمن,F) الثلثان,C,Beginner
200703_1,توفي عن أبناء، وبنات، وأبناء ابن: هل يرث أبناء الابن جدهم المتوفى؟,A) نعم، يرثون السدس.,B) نعم، يرثون الثلث.,C) نعم، يرثون الباقي تعصيبًا.,D) نعم، يرثون بالفرض ثم بالتعصيب.,E) لا يرثون.,F) نعم، يرثون بالرد.,E,Beginner
412630_4,"توفي عن: عم ( شقيق للأب ) العدد 1، عم ( أخ للأب من الأب ) العدد 2، ابن عم شقيق العدد 1، بنت العدد 3، زوجة العدد 1، أخت شقيقة العدد 1
كم عدد أسهم الزوجة من مجموع الأسهم؟",A) ستة أسهم,B) سبعة أسهم,C) ثمانية أسهم,D) تسعة أسهم,E) عشرة أسهم,F) أحد عشر سهما,D,Intermediate
399130_8,"توفيت عن: 3 أبناء، 4 أبناء ابن، أخ شقيق واحد، أخ من الأب واحد، 6 أبناء أخ من الأب، بنتان، بنتا ابن اثنتان، أخت من الأب واحدة.
ما هو حال الأخت من الأب في الميراث؟",A) ترث النصف,B) ترث الثلثين,C) ترث بالفرض,D) لا ترث,E) ترث بالتعصيب,F) ترث الثمن,D,Beginner
373642_2,"توفي عن: ابن/ابنة، وارث آخر، زوجة ثانية، ابنتها
إذا تراضى جميع الورثة الراشدين البالغين على قسمة التركة بناءً على تقدير معين للشقة، فهل هذه القسمة جائزة؟",A) لا، يجب دائماً إجراء تقويم دقيق من خبير.,B) نعم، هذه القسمة جائزة وتسمى قسمة التراضي.,C) لا، إلا إذا تم تأكيد التقدير من المحكمة.,D) نعم، ولكن فقط إذا كان التقدير هو سعر السوق الفعلي.,E) لا، قسمة التراضي غير جائزة في الميراث.,F) نعم، ولكن فقط إذا كان الورثة كلهم ذكوراً.,B,Beginner
157909_3,توفي عن زوجة، وأربع بنات، وثلاثة أشقاء، وخمسة إخوة من الأب، وسبع أخوات من الأب، وتسعة أبناء أخ شقيق، وخمسة عشر ابن أخ من الأب، وخمسة أبناء عم شقيق. ما نصيب الأشقاء الثلاثة مجتمعين؟,A) النصف,B) الثلث,C) الثلثان,D) السدس,E) الربع,F) الباقي تعصيبا,F,Beginner
179983_2,"توفي عن 4 أبناء، أب، أم، بنت، زوجة.
ما نصيب الأب؟",A) السدس,B) الثلث,C) الباقي,D) لا يرث,E) النصف,F) الربع,A,Beginner
358492_3,"توفي عن جدة وثلاثة أبناء وبنتين.
كيف يكون نصيب الأبناء الذكور من حصتهم الإجمالية؟",A) يختلف نصيب كل ابن حسب عمره,B) يختلف نصيب كل ابن حسب ترتيبه (أكبر، أوسط، ثاني),C) يختلف نصيب كل ابن حسب حاجته,D) يختلف نصيب كل ابن حسب اتفاقهم,E) يكون الذكور متساوين في نصيبهم,F) لا يرث الأبناء الذكور شيئاً,E,Beginner
286438_3,"توفي عن أخت شقيقة واحدة وأخت من الأب واحدة.
كم عدد الأسهم التي تأخذها الأخت الشقيقة فرضًا وردًّا؟",A) سهم واحد,B) سهمان,C) ثلاثة أسهم,D) أربعة أسهم,E) خمسة أسهم,F) ستة أسهم,C,Intermediate
169167_6,"توفي عن: زوجة واحدة، 3 أخ شقيق، 4 أخ من الأب، 3 أخت شقيقة، 3 أخت من الأب.
هل ترث الأخت من الأب في هذه المسألة؟",A) نعم، ترث بالفرض,B) نعم، ترث بالتعصيب,C) نعم، ترث بالرد,D) لا، لا ترث,E) نعم، ترث بالولاء,F) نعم، ترث بالرحم,D,Beginner
484978_7,"توفيت عن زوج وأم وثلاثة أبناء ذكور.
كم عدد أسهم كل واحد من الأبناء الثلاثة الذكور من أصل 36 سهما؟",A) 7,B) 36,C) 9,D) 6,E) 21,F) 7,A,Intermediate
392677_2,"توفي عن 8 أبناء، وأم، و5 بنات، وزوجة.
ما هو نصيب الزوجة من التركة؟",A) السدس,B) الثمن,C) الربع,D) النصف,E) الثلث,F) الثلثان,B,Beginner
157815_6,"توفي عن: أم، وابنان، وثلاث بنات.
كم سهماً لكل بنت في حال كانت الأم هي أم الميت؟",A) 1,B) 5,C) 7,D) 10,E) 12,F) 14,B,Intermediate
107995_4,"توفي عن زوجة وخمسة أبناء وتسع بنات. قسمت التركة على 152 سهماً.
كم عدد أسهم كل بنت من البنات التسع من التركة؟",A) 5,B) 6,C) 7,D) 8,E) 9,F) 14,C,Intermediate
198239_1,"توفي عن جد (أب الأب) وجدة (أم الأم) وشقيق وشقيقة
ما نصيب الجدة (أم الأم) من الدية؟",A) النصف,B) الربع,C) الثلث,D) السدس,E) الثمن,F) لا شيء لها,D,Beginner
350659_2,توفي عن زوجة، و3 أبناء، وبنت، وأم. ما نصيب الأم بالكسر؟,A) السدس,B) الثمن,C) الربع,D) النصف,E) الثلث,F) لا ترث,A,Beginner
183607_3,"توفي عن ورثة من الرجال : (ابن) العدد 2 (أخ شقيق) العدد 2 ومن النساء : (أم ) (بنت) العدد 4 (زوجة) العدد 1 (أخت شقيقة) العدد 7
كم عدد السهام التي تحصل عليها الزوجة من مجموع السهام؟",A) 32 سهما,B) 17 سهما,C) 68 سهما,D) 24 سهما,E) 192 سهما,F) 34 سهما,D,Intermediate
416527_3,"توفي عن أخت من أم، وأختين شقيقتين، وأخ شقيق، وقسمت التركة على أربعة وعشرين سهما.
كم عدد أسهم كل أخت شقيقة؟",A) سهمان,B) ثلاثة أسهم,C) أربعة أسهم,D) خمسة أسهم,E) ستة أسهم,F) عشرة أسهم,D,Intermediate
159313_1,توفي عن زوجة وسبعة أبناء وثلاث بنات: ما نصيب الزوجة بالكسر؟,A) الربع,B) الثمن,C) النصف,D) السدس,E) الثلث,F) الثلثان,B,Beginner
490144_3,"توفي عن زوجة وبنت و8 أبناء أخ من الأب.
ما هو نصيب البنت بالكسر؟",A) الثلث,B) الربع,C) السدس,D) النصف,E) الثمن,F) الثلثان,D,Beginner
71760_3," رجل توفي وترك زوجة بدون أولاد , وأختا لأب وأمّ , وأختا أخرى لأب , وأخا لأب من أم أخرى .
ما نصيب الإخوة لأب (الأخت لأب والأخ لأب) مجتمعين؟",A) النصف,B) الربع,C) الثلث,D) السدس,E) الباقي,F) لا يرثون,E,Beginner
291712_4,"توفي عن: 2 ابن، 3 أخ شقيق، أم، 3 بنت، 2 زوجة، 5 أخت شقيقة.
كم عدد السهام المخصصة للزوجتين معاً؟",A) 21,B) 42,C) 84,D) 100,E) 50,F) 30,B,Intermediate
94524_5,توفيت عن زوج وأب وأم وأولاد ذكوراً وإناثاً وإخوانها ذكوراً وإناثا: هل يرث الإخوة والأخوات؟,A) نعم، يرثون الباقي,B) نعم، يرثون بالتعصيب,C) لا يرثون,D) نعم، يرثون بالفرض,E) نعم، يرثون السدس,F) نعم، يرثون الثلث,C,Beginner
336082_2,"توفي عن: أخ من الأم العدد 1، زوج، أم، أخت من الأب العدد 1، أخت من الأم العدد 3.
ما نصيب الأم؟",A) النصف,B) الثلث,C) السدس,D) الربع,E) الثمن,F) محجوبة,C,Beginner
393670_3,"توفي عن ورثة منهم أخ يستأجر عقاراً موروثاً من باقي الورثة، ويدفع لهم الإيجار بعد خصم نصيبه.
كيف يقسم باقي الورثة مبلغ الإيجار الذي يدفعه لهم الأخ المستأجر بعد خصم نصيبه؟",A) يقسمونه بينهم بالتساوي.,B) يقسمونه بينهم حسب الاتفاق بينهم.,C) يقسمونه بينهم القسمة الشرعية في الميراث.,D) يقسمونه بينهم حسب عدد رؤوسهم.,E) يقسمونه بينهم حسب احتياج كل واحد منهم.,F) يقسمونه بينهم حسب مساحة الجزء الذي يرثه كل واحد منهم.,C,Intermediate
215590_5,"توفي عن: أخت شقيقة العدد 1، وأبناء أخ من الأم
سؤال: هل يرث أبناء الأخ من الأم؟",A) نعم، يرثون بالفرض,B) نعم، يرثون بالتعصيب,C) نعم، يرثون بالرد,D) لا يرثون,E) يرثون بالوصية فقط,F) يرثون إذا لم يوجد عصبة,D,Beginner
116183_4,توفي عن أبناء من زوجة سابقة، وبنت من زوجة سابقة، وزوجة ثانية: قام المتوفى بهبة جزء من أرضه وبيته لزوجته الثانية. ما حق الورثة في هذه الهبة إذا كانت باطلة؟,A) ليس لهم أي حق فيها.,B) لهم الحق في المطالبة بعدم إنفاذها.,C) لهم الحق في نصف قيمة الهبة فقط.,D) لهم الحق في المطالبة بها بعد وفاة الزوجة الثانية.,E) لهم الحق في المطالبة بها إذا لم يكن للمتوفى ديون أخرى.,F) حقهم يسقط بمرور الزمن.,B,Beginner
105167_1,"توفي عن زوجة وبنتين لأولاده وأخ وثلاث أخوات.
ما هو نصيب الزوجة؟",A) الربع,B) الثلث,C) الثمن,D) السدس,E) النصف,F) لا شيء,C,Beginner
22929_3,توفي عن زوجة وابنة وعصبة: ما نصيب العصبة؟,A) النصف,B) الربع,C) الثمن,D) السدس,E) الباقي,F) محجوب,E,Beginner
69145_4,توفي عن تركة فيها قيمة معنوية (شهرة المحلات) لا يمكن توزيعها بذاتها. كيف توزع هذه القيمة المعنوية على الورثة؟,A) توزع بذاتها,B) لا توزع,C) تباع ويوزع ثمنها,D) تبقى ملكاً مشتركاً,E) تعطى لأحد الورثة,F) تقوم ثم توزع قيمتها بين الورثة,F,Beginner
147225_8,"توفي عن زوجة، وبنت، وشقيقتان، وستة أبناء أخ شقيق.
كم عدد أسهم كل شقيقة؟",A) 1,B) 2,C) 3,D) 4,E) 6,F) 8,C,Intermediate
35958_1,"توفي شخص وترك مبلغاً مالياً في بنك ربوي يتضمن المبلغ الأصلي ومبلغ الفوائد.
هل الفوائد الربوية التي تركها المتوفى تعتبر من التركة التي تقسم على الورثة؟",A) نعم، تقسم كلها على الورثة كجزء من التركة.,B) لا، ليست من التركة بيقين.,C) نعم، تقسم على الورثة الفقراء فقط.,D) لا، تقسم على الورثة الأغنياء فقط.,E) نعم، تقسم بعد خصم الديون.,F) لا، تقسم على أوجه الخير فقط ولا يأخذ منها الورثة شيئاً مطلقاً.,B,Beginner
51991_2,توفي عبد القادر، ما نصيب الأم من تركة ابنها عبد القادر الذي توفي قبلها وكان لعبد القادر ولد؟,A) الثمن,B) السدس,C) الربع,D) النصف,E) الثلث,F) محجوبة,B,Beginner
224494_5,توفي عن أخ شقيق، أخ من الأب، أخ من الأم، أخت شقيقة: ما نصيب الأخ من الأب؟,A) النصف,B) الربع,C) الثلث,D) السدس,E) الثمن,F) لا شيء,F,Beginner
201925_1,توفي عن 5 أبناء أخ من الأب، ما هو النصيب النهائي لكل وارث من التركة؟,A) ابن أخ من الأب: النصف,B) ابن أخ من الأب: سهم واحد,C) ابن أخ من الأب: الربع,D) ابن أخ من الأب: الثلث,E) ابن أخ من الأب: سهمان,F) ابن أخ من الأب: لا شيء,B,Advanced
222739_5,"توفي عن: أخ شقيق العدد 1، أم العدد 1، بنت العدد 3، زوجة العدد 1
كم سهماً للزوجة من مجموع السهام؟",A) 12,B) 48,C) 3,D) 16,E) 9,F) 72,E,Intermediate
144825_1,توفي عن زوجتان، واثنا عشر ولدا، وست بنات: ما هو نصيب الزوجتين فرضاً؟,A) الربع,B) النصف,C) الثمن,D) السدس,E) الثلث,F) الربع للواحدة,C,Beginner
224017_4,"توفيت عن بنت وأخت شقيقة ومعتِق.
من الذي حجب المعتِق؟",A) البنت,B) الأخت الشقيقة,C) البنت والأخت الشقيقة معاً,D) لا أحد حجبه، فهو يرث,E) الأخت الشقيقة مع البنت,F) الأخت الشقيقة لوحدها,E,Beginner
417172_1,توفي عن أم، 3 إخوة، 5 أخوات: هل يجوز لأحد الورثة منع تقسيم الميراث بحجة تنميته؟,A) نعم، يجوز ذلك إذا كان بقصد تنمية المال.,B) نعم، يجوز ذلك بموافقة أغلبية الورثة.,C) لا، لا يجوز ذلك.,D) يجوز ذلك فقط إذا كان الوصي هو من يقوم بذلك.,E) يجوز ذلك إذا كان المال قليلاً.,F) يجوز ذلك إذا كان الورثة قُصّراً.,C,Beginner
245842_7,توفي عن أب، أم، زوجة، 2 بنت، 2 أخ شقيق، 1 ابن أخ شقيق، 2 عم شقيق للأب. كم عدد أسهم الزوجة من أصل سبعة وعشرين سهماً؟,A) ثلاثة أسهم,B) أربعة أسهم,C) ستة أسهم,D) ثمانية أسهم,E) ستة عشر سهماً,F) سبعة وعشرون سهماً,A,Intermediate
171983_7,"توفي عن 6 أخ شقيق، أم، 3 أخت شقيقة، 2 زوجتان.
على كم سهما تقسم التركة؟",A) 60,B) 90,C) 210,D) 180,E) 360,F) 120,E,Intermediate
399739_12,"توفي عن: ابن (1)، أب، أخ من الأب (1)، ابن أخ من الأب (1)، عم ( شقيق للأب ) (3)، ابن عم شقيق (5)، أم، بنت (1)، زوجة (1)، جدة ( أم الأم )، أخت من الأب (2)، أخت من الأم (1).
كم سهما للبنت من أصل اثنين وسبعين سهما؟",A) 4 أسهم,B) 9 أسهم,C) 12 سهما,D) 13 سهما,E) 26 سهما,F) 72 سهما,D,Intermediate
101660_4,توفي عن ولد ذكر وأعمام: ما نصيب الأعمام من التركة؟,A) النصف,B) الثلث,C) السدس,D) الربع,E) لا شيء,F) الباقي تعصيبا,E,Beginner
324886_3,"توفي عن: ابن ابن 1، ابن أخ شقيق 1، بنت 2، بنت ابن 5
كم سهماً تأخذ كل بنت من التركة التي قسمت على واحد وعشرين سهماً؟",A) سهم واحد,B) سهمان,C) سبعة أسهم,D) أربعة عشر سهماً,E) خمسة أسهم,F) ستة أسهم,C,Intermediate
156093_3,"توفي عن ثلاث بنات، وأختان لأم، وأربعة أبناء أخ شقيق، وبنتا أخ شقيق.
ما نصيب أبناء الأخ الشقيق الأربعة من الميراث؟",A) النصف,B) الثلث,C) الثلثان,D) الباقي تعصيبا,E) السدس,F) لا شيء,D,Beginner
427597_2,"توفي عن أم، وأخوين شقيقين، وأخوات شقيقات.
ما نصيب الأخوين الشقيقين والأخوات الشقيقات مجتمعين؟",A) النصف,B) الثلثين,C) الربع,D) السدس,E) الثلث,F) الباقي تعصيباً,F,Beginner
325528_8,"توفي عن أخ شقيق, أخت شقيقة, أختان لأم
كم عدد أسهم الأختين من جهة الأم من مجموع أسهم التركة؟",A) سهمان,B) أربعة أسهم,C) ستة أسهم,D) ثمانية أسهم,E) عشرة أسهم,F) اثنا عشر سهما,C,Intermediate
120389_4,توفيت عن: زوج، وابنة، وأب، وأم، وشقيق، وشقيقة. ما نصيب الأم من التركة؟,A) الربع,B) الثلث,C) النصف,D) السدس,E) الثمن,F) لا شيء,D,Beginner
485713_6,توفي عن شقيقتين وأخوين: إذا كان نصيب الشقيقة الواحدة هو خمسون ألف، ونصيب الأخ الواحد هو مائة ألف، فما هي نسبة نصيب الأخ إلى نصيب الأخت؟,A) النصف,B) الربع,C) الضعف,D) ثلاثة أضعاف,E) متساويان,F) لا يمكن التحديد,C,Beginner
29202_1,توفي عن أبناء وبنات، ما هو النصيب النهائي لكل وارث من التركة؟,A) الابن: سهم واحد، البنت: سهمان,B) الابن: سهم واحد، البنت: سهم واحد,C) الابن: ثلاثة أسهم، البنت: سهم واحد,D) الابن: سهمان، البنت: سهم واحد,E) الابن: كل التركة، البنت: لا شيء,F) الابن: سهم واحد، البنت: ثلاثة أسهم,D,Advanced
301942_2,"توفي عن: زوجة، 5 بنات، أم، أب، أخت، 4 إخوة، 4 أعمام، جدة (أم الأب).
ما نصيب البنات الخمس من التركة مجتمعين؟",A) النصف,B) الربع,C) الثمن,D) السدس,E) الثلثان,F) الثلث,E,Beginner
245842_5,توفي عن أب، أم، زوجة، 2 بنت، 2 أخ شقيق، 1 ابن أخ شقيق، 2 عم شقيق للأب. كم عدد أسهم الأم من أصل سبعة وعشرين سهماً؟,A) ثلاثة أسهم,B) أربعة أسهم,C) ستة أسهم,D) ثمانية أسهم,E) ستة عشر سهماً,F) سبعة وعشرون سهماً,B,Intermediate
